id,title,description
951,Beer Subscription Promo,"You will receive the beer subscription at home, after which you can make several posts every month. This could be an Unboxing Tasting Cooking with foodpairing tip and serving this beer alongside it. Other options are negotiable. An affiliate deal or a fixed deal can be agreed upon."
3077,Exclusive Coffee Date La Mulata Specialty Coffee,"Join us for a cozy and cute coffee experience at La Mulata Specialty Coffee, the brand new in-store coffee spot in Amsterdam inside the cute boutique Following Lucy, a clothing store for women. With its secret coffee garden you escape from the busy Haarlemmerdijk in the center of Amsterdam and enter this hidden gem. As an influencer you’ll get to enjoy one of our Signature Coffees for free in exchange for sharing your experience and tagging us on Instagram and TikTok. Our Signature Coffees: Mulata Café Bombón Cortado de Rosas Lucy's French Toast Latte Lavender Matcha Latte Come sip, snap and share the perfect coffee moment in this stylish boutique setting."
2868,UGC Plate Tiles video for tiktok and instagram,"Hi, we are looking for someone to make an Instagram reel or TikTok video about our self-adhesive bonding tiles. You can choose a tile from our website that is still in stock. What we expect from the video Some kind of similar video like this one https vm tiktok com ZNeKDBctb You start by filming the packaging of the tiles with our brand name visible Then you show how to hang the tiles in your own toilet bathroom or kitchen And at the end you show the end result Own interpretation creativity is appreciated in this A requirement is that we are happy to forward the video so that we can use it for our own use commercial purposes"
3405,Unboxing Testing the Electric Water Gun,"We are looking for influencers to showcase the Electric Water Gun, a powerful and easy-to-use water blaster that takes water fights to the next level. With its automatic shooting mechanism and high speed water stream, it is perfect for endless outdoor fun. What You Get: The product will be shipped to you for free and you can keep it after the collaboration. What to Highlight: Show off how the electric water gun works its power and range and how it can make water battles more exciting than ever."
2031,Experience the TV program De Verraders now at home.,"We are looking for fun content creators who want to create content for our game De Verraders the board game. Are you the traitor or can you unmask the traitor? Play now De Verraders the board game based on the successful TV program and play this exciting and treacherous game with friends and family at home. Can your friends still be trusted when it comes to silver, and how well can you actually lie if necessary? Play different missions with each other in order to earn silver, but keep an eye on each other because there is a traitor with secret missions among you. Discuss during the Round Table who shows conspicuous behavior and vote on who you think is The Traitor. But beware: if you get too close to The Traitor and The Traitor has completed the secret mission, then your life in the Night is not safe. De Verraders board game, the game that you play together while actually nobody can be trusted Who is The Traitor and who are The Loyalists Find out in the final and run away with all the silver Do you want to create fun content for this game? Send us a message"
3306,Hair dryer with diffuser and without charge,"Are you a fan of perfectly styled curls? We are looking for someone who wants to review our diffuser hair dryer. What do you get A free diffuser hair dryer worth No need for visual material, only your honest review Will you help us with a valuable review Let us know"
1599,Toy of the Year winner Play Now Medical Mysteries,"Hey We are looking for fun content creators who want to make a video about our new game Medical Mysteries In Medical Mysteries you work together as a team to solve mysterious medical cases and help your patients survive the night The clock is ticking so be sure to make the right decisions to save the patient Each box contains four different patients, with approximately minutes per patient to solve the mystery Teamwork is key to success in this exciting game and the best part is that you don’t need any medical knowledge to play this game Are you a fan of games and love playing the latest games Send us a message"
2142,Free lunch at LOT DAAN,LOT DAAN is a vibrant spot for all day breakfast and lunch in the heart of Rotterdam Whether you re craving a cozy morning treat or want to enjoy brunch at PM we re here to welcome you Our philosophy Keep it honest and simple with locally sourced quirky veggies wholesome grains and no unnecessary additives We provide the foundation and you choose the extras for a meal that feels just right for you Here is what we offer Stories Package This package is only available for Instagram accounts with over followers Post Instagram stories and a review on both Google TripAdvisor free lunch up to Reel Package Create an Instagram Reel or TikTok video in addition to Instagram stories and reviews on TripAdvisor and Google free lunch up to This is a creative barter arrangement your authentic engaging content for a delicious LOT DAAN experience
1835,FREE Luxury Curling Iron Gratis Hair Curlers,"Do you love creating stunning hairstyles? We are looking for someone to try one of our styling tools. Take a chic lifestyle photo and create a fun short video. As a reward, you will receive our fantastic product FOR FREE and more! Let's work together and get creative. More details will be shared during the briefing. What you get: Free product (curling brush or automatic curling tong) discount on our whole website Additional Rewards up to Based on Video Views Note Feel free to keep responding to our brand deals We randomly select people each month If you are not selected this time, you can try again next month for another chance"
3310,My Cloudy Dream Airflow Kissing Pillow Lazy Velvet Easy Duvet,"We are looking for an enthusiastic content creator to test our ultimate sleep combination. The new Airflow pillow with the special honeycomb pattern and the Lazy Velvet Easy duvet, a duvet and cover all in one. Are you creative, energetic and not afraid to talk on camera? Do you have humor and good editing skills? Then this is your chance to collaborate with Budget Bed. You will receive these products from us as a reward and if it goes well there may be more collaborations in the future."
3307,FREE Diffuser with v,"Are you a fan of perfectly styled curls? We are looking for someone who wants to review our diffuser hair dryer. What do you get A free diffuser hair dryer worth No need for visual material, just your review Will you help us with a valuable review Let us know"
2553,Sleep well tape,"Why Sleep Well Tape There are many tapes on the market, but not everything is suitable for your lips. Some tapes cause irritation or pull skin cells away. The perfect tape Sleep Well Tape Doesn’t cause irritations and doesn’t leave any glue residues. Ensures deeper sleep Keeps bacteria out Reduces nighttime peeing Avoids snoring Prevents a dry mouth Improves your sleep quality so you need less sleep"
